condition,symptoms,drug,side_effects
Insomnia,"fatigue, irritability",Zolpidem,"daytime drowsiness, dizziness"
Cold,"mild fever, runny nose, congestion, sneezing",Cetirizine,"dry mouth, tiredness"
Flu,"sore throat, cough",Paracetamol,"nausea, dizziness"
Migraine,"blurred vision, nausea",Sumatriptan,"drowsiness, tingling sensation"
Migraine,"nausea, blurred vision, throbbing pain, headache",Sumatriptan,"drowsiness, tingling sensation"
Acid Reflux,"regurgitation of food, difficulty swallowing, heartburn",Omeprazole,"headache, abdominal pain"
Diabetes,"excessive thirst, frequent urination, fatigue, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Asthma,"chest tightness, wheezing, coughing",Albuterol,"tremors, fast heart rate"
Hypertension,"vision problems, severe headache, high blood pressure, fatigue",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"heartburn, regurgitation of food, chest pain, difficulty swallowing",Omeprazole,"headache, abdominal pain"
Allergy,"skin rash, runny nose, itchy eyes, hives",Loratadine,"headache, stomach pain"
Migraine,"blurred vision, light sensitivity, throbbing pain, nausea",Sumatriptan,"drowsiness, tingling sensation"
Migraine,"headache, light sensitivity, blurred vision",Sumatriptan,"drowsiness, tingling sensation"
Gastroenteritis,"nausea, vomiting",Loperamide,"constipation, dizziness"
Allergy,"runny nose, skin rash",Loratadine,"headache, stomach pain"
Asthma,"chest tightness, coughing, wheezing",Albuterol,"tremors, fast heart rate"
Diabetes,"fatigue, frequent urination, unexplained weight loss, excessive thirst",Metformin,"stomach upset, metallic taste"
Acid Reflux,"chest pain, difficulty swallowing, regurgitation of food, heartburn",Omeprazole,"headache, abdominal pain"
Migraine,"throbbing pain, headache",Sumatriptan,"drowsiness, tingling sensation"
Cold,"runny nose, cough, congestion, sneezing",Cetirizine,"dry mouth, tiredness"
Migraine,"light sensitivity, nausea, headache",Sumatriptan,"drowsiness, tingling sensation"
Cold,"sneezing, mild fever, runny nose, cough",Cetirizine,"dry mouth, tiredness"
Cold,"cough, congestion, mild fever, sneezing",Cetirizine,"dry mouth, tiredness"
Insomnia,"irritability, fatigue, waking up during night",Zolpidem,"daytime drowsiness, dizziness"
Gastroenteritis,"stomach cramps, low-grade fever",Loperamide,"constipation, dizziness"
Hypertension,"vision problems, chest pain, severe headache",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"heartburn, chest pain",Omeprazole,"headache, abdominal pain"
Gastroenteritis,"low-grade fever, diarrhea",Loperamide,"constipation, dizziness"
Gastroenteritis,"vomiting, low-grade fever",Loperamide,"constipation, dizziness"
Cold,"runny nose, mild fever, cough",Cetirizine,"dry mouth, tiredness"
Asthma,"shortness of breath, coughing",Albuterol,"tremors, fast heart rate"
Asthma,"coughing, shortness of breath, wheezing, chest tightness",Albuterol,"tremors, fast heart rate"
Flu,"body ache, fever, sore throat, headache",Paracetamol,"nausea, dizziness"
Flu,"cough, headache",Paracetamol,"nausea, dizziness"
Insomnia,"irritability, difficulty falling asleep, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Insomnia,"waking up during night, difficulty falling asleep, irritability, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Cold,"mild fever, runny nose",Cetirizine,"dry mouth, tiredness"
Gastroenteritis,"low-grade fever, vomiting, diarrhea, nausea",Loperamide,"constipation, dizziness"
Acid Reflux,"difficulty swallowing, regurgitation of food",Omeprazole,"headache, abdominal pain"
Migraine,"throbbing pain, blurred vision",Sumatriptan,"drowsiness, tingling sensation"
Cold,"congestion, runny nose, cough, mild fever",Cetirizine,"dry mouth, tiredness"
Asthma,"chest tightness, wheezing, coughing",Albuterol,"tremors, fast heart rate"
Cold,"sneezing, mild fever, cough, runny nose",Cetirizine,"dry mouth, tiredness"
Cold,"runny nose, cough, sneezing, congestion",Cetirizine,"dry mouth, tiredness"
Cold,"runny nose, mild fever, congestion, cough",Cetirizine,"dry mouth, tiredness"
Diabetes,"excessive thirst, unexplained weight loss, fatigue, frequent urination",Metformin,"stomach upset, metallic taste"
Gastroenteritis,"stomach cramps, diarrhea",Loperamide,"constipation, dizziness"
Hypertension,"chest pain, severe headache, high blood pressure",Amlodipine,"swelling of ankles, headache"
Allergy,"sneezing, hives",Loratadine,"headache, stomach pain"
Acid Reflux,"difficulty swallowing, heartburn, regurgitation of food, chest pain",Omeprazole,"headache, abdominal pain"
Asthma,"coughing, chest tightness, wheezing",Albuterol,"tremors, fast heart rate"
Insomnia,"irritability, waking up during night",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"heartburn, chest pain, regurgitation of food, difficulty swallowing",Omeprazole,"headache, abdominal pain"
Flu,"fatigue, fever, body ache",Paracetamol,"nausea, dizziness"
Insomnia,"irritability, waking up during night, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"difficulty swallowing, chest pain",Omeprazole,"headache, abdominal pain"
Gastroenteritis,"nausea, low-grade fever",Loperamide,"constipation, dizziness"
Insomnia,"difficulty falling asleep, waking up during night, irritability",Zolpidem,"daytime drowsiness, dizziness"
Diabetes,"frequent urination, fatigue, unexplained weight loss, excessive thirst",Metformin,"stomach upset, metallic taste"
Insomnia,"fatigue, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"heartburn, regurgitation of food",Omeprazole,"headache, abdominal pain"
Insomnia,"difficulty falling asleep, irritability",Zolpidem,"daytime drowsiness, dizziness"
Allergy,"sneezing, runny nose, itchy eyes",Loratadine,"headache, stomach pain"
Gastroenteritis,"stomach cramps, nausea",Loperamide,"constipation, dizziness"
Acid Reflux,"chest pain, regurgitation of food",Omeprazole,"headache, abdominal pain"
Insomnia,"irritability, difficulty falling asleep, waking up during night, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Hypertension,"vision problems, high blood pressure, fatigue, severe headache",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"chest pain, difficulty swallowing, regurgitation of food",Omeprazole,"headache, abdominal pain"
Flu,"body ache, headache",Paracetamol,"nausea, dizziness"
Diabetes,"excessive thirst, fatigue, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Allergy,"sneezing, skin rash, runny nose, hives",Loratadine,"headache, stomach pain"
Insomnia,"fatigue, waking up during night",Zolpidem,"daytime drowsiness, dizziness"
Diabetes,"frequent urination, unexplained weight loss, excessive thirst",Metformin,"stomach upset, metallic taste"
Acid Reflux,"regurgitation of food, difficulty swallowing, chest pain",Omeprazole,"headache, abdominal pain"
Migraine,"light sensitivity, throbbing pain, blurred vision, nausea",Sumatriptan,"drowsiness, tingling sensation"
Gastroenteritis,"diarrhea, stomach cramps, nausea",Loperamide,"constipation, dizziness"
Insomnia,"difficulty falling asleep, fatigue, waking up during night, irritability",Zolpidem,"daytime drowsiness, dizziness"
Flu,"sore throat, fatigue",Paracetamol,"nausea, dizziness"
Asthma,"coughing, shortness of breath, chest tightness, wheezing",Albuterol,"tremors, fast heart rate"
Flu,"body ache, headache, cough",Paracetamol,"nausea, dizziness"
Cold,"congestion, sneezing",Cetirizine,"dry mouth, tiredness"
Insomnia,"irritability, waking up during night",Zolpidem,"daytime drowsiness, dizziness"
Gastroenteritis,"low-grade fever, diarrhea, stomach cramps",Loperamide,"constipation, dizziness"
Migraine,"throbbing pain, blurred vision, nausea, headache",Sumatriptan,"drowsiness, tingling sensation"
Allergy,"hives, sneezing, runny nose, itchy eyes",Loratadine,"headache, stomach pain"
Cold,"cough, congestion",Cetirizine,"dry mouth, tiredness"
Diabetes,"unexplained weight loss, frequent urination, fatigue, excessive thirst",Metformin,"stomach upset, metallic taste"
Migraine,"nausea, light sensitivity, blurred vision, headache",Sumatriptan,"drowsiness, tingling sensation"
Hypertension,"high blood pressure, vision problems, fatigue, chest pain",Amlodipine,"swelling of ankles, headache"
Cold,"cough, sneezing, runny nose",Cetirizine,"dry mouth, tiredness"
Insomnia,"waking up during night, fatigue, irritability, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Cold,"sneezing, congestion, cough, runny nose",Cetirizine,"dry mouth, tiredness"
Diabetes,"fatigue, unexplained weight loss, excessive thirst, frequent urination",Metformin,"stomach upset, metallic taste"
Diabetes,"fatigue, frequent urination, unexplained weight loss, excessive thirst",Metformin,"stomach upset, metallic taste"
Diabetes,"excessive thirst, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Insomnia,"difficulty falling asleep, irritability, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Cold,"congestion, sneezing, cough, mild fever",Cetirizine,"dry mouth, tiredness"
Acid Reflux,"difficulty swallowing, heartburn, chest pain, regurgitation of food",Omeprazole,"headache, abdominal pain"
Cold,"cough, mild fever, sneezing",Cetirizine,"dry mouth, tiredness"
Flu,"sore throat, fever",Paracetamol,"nausea, dizziness"
Allergy,"sneezing, runny nose, itchy eyes",Loratadine,"headache, stomach pain"
Insomnia,"fatigue, waking up during night, irritability, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Insomnia,"irritability, waking up during night, difficulty falling asleep, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Hypertension,"fatigue, vision problems, chest pain",Amlodipine,"swelling of ankles, headache"
Asthma,"shortness of breath, chest tightness, coughing, wheezing",Albuterol,"tremors, fast heart rate"
Flu,"headache, fatigue, body ache, sore throat",Paracetamol,"nausea, dizziness"
Migraine,"light sensitivity, throbbing pain, blurred vision, nausea",Sumatriptan,"drowsiness, tingling sensation"
Diabetes,"fatigue, excessive thirst, unexplained weight loss, frequent urination",Metformin,"stomach upset, metallic taste"
Insomnia,"irritability, difficulty falling asleep, waking up during night, fatigue",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"regurgitation of food, chest pain, heartburn, difficulty swallowing",Omeprazole,"headache, abdominal pain"
Cold,"runny nose, cough, mild fever",Cetirizine,"dry mouth, tiredness"
Asthma,"shortness of breath, chest tightness",Albuterol,"tremors, fast heart rate"
Cold,"runny nose, cough, sneezing",Cetirizine,"dry mouth, tiredness"
Migraine,"light sensitivity, nausea",Sumatriptan,"drowsiness, tingling sensation"
Flu,"cough, sore throat, body ache",Paracetamol,"nausea, dizziness"
Flu,"headache, body ache",Paracetamol,"nausea, dizziness"
Asthma,"chest tightness, wheezing, shortness of breath",Albuterol,"tremors, fast heart rate"
Flu,"fatigue, body ache",Paracetamol,"nausea, dizziness"
Insomnia,"difficulty falling asleep, fatigue, irritability",Zolpidem,"daytime drowsiness, dizziness"
Acid Reflux,"regurgitation of food, difficulty swallowing, heartburn, chest pain",Omeprazole,"headache, abdominal pain"
Allergy,"skin rash, hives",Loratadine,"headache, stomach pain"
Asthma,"chest tightness, coughing, wheezing, shortness of breath",Albuterol,"tremors, fast heart rate"
Diabetes,"frequent urination, fatigue, excessive thirst, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Hypertension,"high blood pressure, vision problems, chest pain",Amlodipine,"swelling of ankles, headache"
Acid Reflux,"regurgitation of food, heartburn",Omeprazole,"headache, abdominal pain"
Asthma,"wheezing, coughing",Albuterol,"tremors, fast heart rate"
Hypertension,"chest pain, fatigue",Amlodipine,"swelling of ankles, headache"
Migraine,"blurred vision, headache, nausea, throbbing pain",Sumatriptan,"drowsiness, tingling sensation"
Flu,"fever, headache, fatigue, cough",Paracetamol,"nausea, dizziness"
Insomnia,"fatigue, waking up during night, difficulty falling asleep",Zolpidem,"daytime drowsiness, dizziness"
Diabetes,"frequent urination, fatigue, unexplained weight loss",Metformin,"stomach upset, metallic taste"
Hypertension,"high blood pressure, chest pain, fatigue, severe headache",Amlodipine,"swelling of ankles, headache"
Cold,"cough, sneezing, mild fever",Cetirizine,"dry mouth, tiredness"
Insomnia,"waking up during night, fatigue, irritability",Zolpidem,"daytime drowsiness, dizziness"
Cold,"mild fever, cough",Cetirizine,"dry mouth, tiredness"
